site,lat,lon,,,,,lat,lon
B01,-17.48513,-149.88983,,,,,,
B02,-17.48462,-149.87939,,,,,,
B03,-17.48754,-149.86836,,,,,,
B04,-17.48245,-149.8503,,,,,,
B05,-17.47919,-149.83311,,,,,,
B06,-17.47579,-149.81667,,,,,,
B07,-17.47535,-149.80597,,,,,,
B08,-17.4752,-149.79346,,,,,,
B09,-17.47274,-149.78432,,,,,,
B10,-17.50346,-149.76058,,,,,,
B10.5,-17.50833,-149.76303,,,,,,
B11,-17.51978,-149.7646,,,,,,
B12,-17.52993,-149.76536,,,,,,
B13,-17.53479,-149.76387,,,,,,
B14,-17.54052,-149.7665,,,,,,
B15,-17.56093,-149.78293,,,,,,
B16,-17.56863,-149.78737,,,,,,
B17,-17.58046,-149.78891,,,,,,
B18,-17.58689,-149.79121,,,,,,
B19,-17.5988,-149.79915,,,,,,
B20,-17.60276,-149.80766,,,,,,
B21,-17.60289,-149.81747,,,,,,
B22,-17.60252,-149.82685,,,,,,
B23,-17.59937,-149.8356,,,,,,
B24,-17.59343,-149.85321,,,,,,
B25,-17.59049,-149.86128,,,,,,
B26,-17.5851,-149.86736,,,,,,
B27,-17.56782,-149.88152,,,,,,
B28,-17.56235,-149.88512,,,,,,
B29,-17.55505,-149.89185,,,,,,
B30,-17.55043,-149.89714,,,,,,
B31,-17.54487,-149.9023,,,,,,
B32,-17.53547,-149.91293,,,,,,
B33,-17.51266,-149.92247,,,,,,
B34,-17.50416,-149.92409,,,,,,
B35,-17.49472,-149.92265,,,,,,
N01,-17.48069,-149.84629,,,,,,
N02,-17.47996,-149.84659,,,,,,
N03,-17.47924,-149.84689,,,,,,
N04,-17.48159,-149.84583,,,,,,
N05,-17.48231,-149.8454,,,,,,
W01,-17.58634,-149.86826,,,,,,
W02,-17.58593,-149.86781,,,,,,
W04,-17.58442,-149.867,,,,,,
W05,-17.58338,-149.86638,,,,,,
E01,-17.54092,-149.76617,,,,,,
E02,-17.54114,-149.76555,,,,,,
E03,-17.54034,-149.76773,,,,,,
E04,-17.53966,-149.76822,,,,,,
